id,first_name,last_name
1,Dove,25
2,Head and Shoulders,2
3,Spironolactone,99
4,Liceall,77
5,Captopril,40
6,Pistachio,67
7,Pepper Tree Pollen,29
8,Cyclobenzaprine Hydrochloride,100
9,OXYGEN,98
10,TOPIRAMATE,11
11,Antacid,78
12,Topiclear Lemon,11
13,La mer Hand Sanitizer,11
14,Desvenlafaxine,17
15,supernatural airbrushed canvas broad spectrum spf 15 sunscreen,11
16,Pepto-Bismol,1
17,CALCIUM SULPHATE,88
18,Hydromorphone HCl,95
19,ANTIBACTERIAL HAND SANITIZER,75
20,Nadolol,31
21,Migranade,81
22,TOPIRAMATE,41
23,Formu Care pain reliever,15
24,Sensipar,40
25,VENLAFAXINE HYDROCHLORIDE,54
26,dg health ibuprofen,93
27,Air Sinsin Pas,13
28,good sense antacid,39
29,ACTONEL,58
30,Venlafaxine Hydrochloride,55
31,Panic Ease,28
32,Haloperidol,31
33,Duloxetine,3
34,Fentanyl,96
35,PNEUMOVAX 23,99
36,Hydrocodone Bitartrate And Acetaminophen,19
37,Fungus Fighter,64
38,FUL-GLO,97
39,meloxicam,94
40,Demeclocycline Hydrochloride,36
41,Clobetasol Propionate,55
42,Leader Premenstrual,62
43,Tamsulosin Hydrochloride,26
44,Ibuprofen,30
45,Skin Relief Plus,2
46,Poverty Weed,59
47,Diphenhydramine Hydrochloride,90
48,symmetry Antimicrobial Foaming Hand Wash,92
49,Stemphylium sarciniforms,87
50,blackberry vanilla hand sanitizer,10
51,Youthful Wear Spotless Concealer,4
52,Caverject,9
53,Diarrhea Complex,11
54,Gold Bond Foot,89
55,GRANIX,52
56,up and up flu and severe cold and cough relief,100
57,Alka-Seltzer Plus Night Cold,53
58,Oxytocin,77
59,APETYL,17
60,Dexamethasone,68
61,BENZTROPINE MESYLATE,48
62,Ortho-Novum,51
63,lisinopril,16
64,Bambusa Argentum,8
65,Ciprofloxacin,83
66,muscle rub,96
67,ACER NEGUNDO POLLEN,38
68,Argentum 0.4 Adult Size (cocoa butter) Special Order,45
69,ELELYSO,11
70,WellPatch Capsaicin Pain Relief,31
71,Acetaminophen,99
72,Pleo San Klebs,59
73,Lemon Glycerin,54
74,SUMATRIPTAN SUCCINATE,90
75,Black Willow,33
76,Clindamycin Hydrochloride,20
77,Homeopathic Wart,26
78,Norvasc,32
79,TopCare Cold,75
80,Calcarea Phos Kit Refill,13
81,Ibuprofen PM,77
82,BEEVENOM PACT,66
83,Leader Fiber,4
84,Scar Zone Burn Topical Analgesic and Antiseptic,5
85,Diovan,48
86,Members Mark Nicotine,72
87,Medline Alcohol Prep,53
88,Betamethasone Valerate,54
89,Clonidine Hydrochloride,84
90,Galantamine Hydrobromide,26
91,Virginia Live Oak,13
92,Lisinopril,88
93,careone milk of magnesia,56
94,RAGWITEK,6
95,benzoyl peroxide,35
96,Topcare Nicotine,43
97,Childrens Acetaminophen Melts,92
98,RAZADYNE,48
99,LBEL NATURAL FINISH MOISTURIZING FOUNDATION SPF 25,35
100,Adderall,9
